repository,pr_title,pr_url,resolution_strategy,linked_issue,detected_at,comments,resolved_at,time_to_merge,time_from_detection_to_resolution,logged_time,time_to_merge_normalized,java_code_changes,comments_normalized,pure_comments
apache/rocketmq-mqtt,Delete logback1.2.3 version conflict,https://github.com/apache/rocketmq-mqtt/pull/227,remove one of the two direct dependencies,https://github.com/apache/rocketmq-mqtt/issues/225,2023-11-28T07:07:09Z,1,2023-12-04T05:59:15Z,111.4897222,142.8683333,,-0.214400429,0,-0.23547313,1
apache/seatunnel,[hotfix][flink-1.13] fix flink example NPE & NoSuchMethodError,https://github.com/apache/seatunnel/pull/2589,remove the parent dependency,,,5,2022-09-01T08:36:34Z,1.354722222,,,-0.305506462,6,,5
apache/seatunnel,Feature: add spark sink hbase plugin,https://github.com/apache/seatunnel/pull/592,upgrade the dependency version,,,4,2020-12-15T07:24:21Z,285.7136111,,,0.215761186,0,,4
apache/shardingsphere,Fix netty multi version conflict problem,https://github.com/apache/shardingsphere/pull/7299,upgrade in own dependencyManagement,https://github.com/apache/shardingsphere/issues/7293,2020-09-07T10:47:26Z,0,2020-09-07T13:37:42Z,0.110833333,2.837777778,,-0.127054255,0,,0
apollographql/federation-jvm,"**/pom.xml: Add Maven Enforcer and Dependency plugins, and tidy up build system",https://github.com/apollographql/federation-jvm/pull/123,use dependencyManagement and dependencyConvergence from Maven Enforcer Plugin,,,0,2021-08-09T14:21:01Z,0.101388889,,,-0.366786372,18,-0.28025209,0
awslabs/emr-dynamodb-connector,Remove relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/212,set dependency scope to provided (software.amazon.awssdk:dynamodb),,,1,2024-10-24T19:00:03Z,22.85472222,,,-0.280669841,0,-0.167341583,1
census-instrumentation/opencensus-java,Example: Update dependency versions.,https://github.com/census-instrumentation/opencensus-java/pull/1527,upgrade the parent dependency,,,4,2018-10-31T20:50:22Z,2.536388889,,,-0.28023088,0,-0.233487857,4
citrusframework/yaks,fix[ENTESB-12609]: Spring major version conflicts,https://github.com/citrusframework/yaks/pull/39,"upgrade the parent dependency, add the dependency explicitly as a direct dependency",,,0,2020-01-15T09:04:52Z,0.101666667,,,-0.123630701,0,-0.315716309,0
confluentinc/examples,DEVX-2580: Bump Avro version from 1.9.1 to 1.10.1; extend timeout to …,https://github.com/confluentinc/examples/pull/999,upgrade the dependency version,,,0,2021-06-01T13:22:11Z,0.018333333,,,-0.212256068,0,-0.430395413,0
confluentinc/ksql,fix: Upgrade netty to 4.1.89.Final,https://github.com/confluentinc/ksql/pull/10033,upgrade in own dependencyManagement,,,5,2023-07-26T17:41:09Z,25.67694444,,,-0.228173348,0,,5
confluentinc/ksql,chore: bump protobuf version to 3.17.0,https://github.com/confluentinc/ksql/pull/7711,upgrade in own dependencyManagement,,,1,2021-06-22T20:10:52Z,1.941666667,,,-0.323690302,0,,1
confluentinc/ksql,Upgrade netty to 4.1.87.Final,https://github.com/confluentinc/ksql/pull/9904,upgrade in own dependencyManagement,,,1,2023-05-15T21:06:02Z,4.389166667,,,-0.313840923,0,,1
consensys/tessera,Bugfix bouncycastle version conflict,https://github.com/Consensys/tessera/pull/736,upgrade in own dependencyManagement,https://github.com/Consensys/tessera/issues/731,2019-05-07T13:25:39Z,1,2019-05-07T19:42:32Z,1.989166667,6.281388889,,-0.213190051,0,0.014959245,1
eclipse-hawkbit/hawkbit,use vaadin-version placeholder in case of hard-coded vaadin version,https://github.com/eclipse-hawkbit/hawkbit/pull/158,upgrade in own dependencyManagement,,,0,2016-04-29T08:48:05Z,0.470833333,,,-0.221998506,0,-0.294333275,0
eclipse-sw360/sw360,fix(licenseinfo): Exclude old commons-lang3 dependencies,https://github.com/eclipse-sw360/sw360/pull/459,exclude the transitive dependencies,,,2,2019-01-29T14:09:09Z,0.611944444,,,-0.486359169,0,-0.376190924,2
elastic/apm-agent-java,Fix NoSuchMethodError in external-plugin-test,https://github.com/elastic/apm-agent-java/pull/1312,replace with another dependency,,,1,2020-07-27T10:57:21Z,3.234722222,,,-0.263772531,0,-0.39906295,1
elastic/apm-agent-java,Attachment without tools.jar,https://github.com/elastic/apm-agent-java/pull/791,"include the parent dependency in the shaded jar, upgrade the dependency version",,,1,2019-08-14T08:53:42Z,20.37666667,,,-0.240667735,665,-0.39906295,1
expediagroup/circus-train,"Guava version conflicts, managed dependencies for Google Cloud",https://github.com/ExpediaGroup/circus-train/pull/39,"add the dependency explicitly as a direct dependency, add the dependency explicitly in the dependencyManagement, exclude the transitive dependency",,,7,2018-02-23T13:39:54Z,47.95944444,,,-0.249040151,6,-0.209422657,7
finos/legend-engine,Fix snakeyaml version,https://github.com/finos/legend-engine/pull/30,add the dependency explicitly as a direct dependency,,,1,2020-10-19T11:10:39Z,45.24861111,,,-0.215286545,0,-0.203397188,1
geysermc/geyser,Relocate Google Common,https://github.com/GeyserMC/Geyser/pull/1242,use shade plugin to relocate google.common in uber jar,,,0,2020-09-03T03:42:54Z,0.461388889,,,-0.244223951,0,-0.28340942,0
google/caliper,Moe Sync,https://github.com/google/caliper/pull/421,add the dependency explicitly as a direct dependency,,,2,2019-10-04T16:14:45Z,0.097777778,,,-0.427612738,0,3.529527019,2
googleapis/java-bigtable,chore: ensure that transitive deps have the latest version selected,https://github.com/googleapis/java-bigtable/pull/203,use requireDependencyUpperBound rule from Maven Enforcer Plugin,,,3,2020-02-25T18:23:58Z,22.04722222,,,-0.218692676,0,0.015536007,2
googleapis/java-bigtable,deps: fix UpperBoundsDep check for checker-qual,https://github.com/googleapis/java-bigtable/pull/941,exclude the transitive dependencies,,,0,2021-08-09T17:46:27Z,0.273333333,,,-0.263559424,0,-0.180840463,0
googleapis/java-spanner,fix: use grpc 1.27.2 to prevent version conflicts,https://github.com/googleapis/java-spanner/pull/105,downgrade in own dependencyManagement,https://github.com/googleapis/java-spanner/issues/104,2020-03-15T07:22:51Z,0,2020-03-16T02:34:24Z,18.94916667,19.1925,,-0.316794172,0,-0.361816105,0
googleapis/java-storage,build: switch to using junit 5 bom,https://github.com/googleapis/java-storage/pull/2680,use BOM to align all versions,,,0,2024-08-23T17:31:39Z,69.60111111,,,-0.082040338,0,-0.420537423,0
googlecloudplatform/cloud-spanner-r2dbc,Revert spring-data-r2dbc to 1.4.4 (reverts #539),https://github.com/GoogleCloudPlatform/cloud-spanner-r2dbc/pull/541,downgrade the parent dependency,,,1,2022-05-18T14:21:25Z,18.1625,,,-0.151150144,0,-0.304561001,0
googlecloudplatform/dataflowtemplates,Fix a few dependency conflicts,https://github.com/GoogleCloudPlatform/DataflowTemplates/pull/1838,add the dependency explicitly as a direct dependency,https://github.com/GoogleCloudPlatform/DataflowTemplates/issues/1836,2024-09-04T00:13:35Z,4,2024-09-06T01:18:33Z,30.01027778,49.08277778,,-0.319654221,0,-0.176697696,3
googlecloudplatform/dataflowtemplates,updated proto-java to 3.21.9 to resolve conflicts,https://github.com/GoogleCloudPlatform/DataflowTemplates/pull/580,use BOM to align all versions,,,0,2023-02-06T17:30:17Z,3.445555556,,,-0.362702982,0,-0.436261177,0
googlecloudplatform/fda-mystudies,[v2.0.6] Fixed issue [Mobile] Studies are not displaying in Study list screen in mobile #3609,https://github.com/GoogleCloudPlatform/fda-mystudies/pull/3610,downgrade in own dependencyManagement,https://github.com/GoogleCloudPlatform/fda-mystudies/issues/3609,2021-05-25T10:33:42Z,0,2021-05-28T05:48:17Z,63.535,67.24305556,,-0.146932474,0,-0.266416371,0
googlecloudplatform/pubsub,Update Kafka version number to avoid NoSuchMethodError when running c…,https://github.com/GoogleCloudPlatform/pubsub/pull/42,upgrade the dependency version,https://github.com/GoogleCloudPlatform/pubsub/issues/39,2016-12-10T00:43:43Z,0,2016-12-21T15:46:52Z,1.255,279.0525,,-0.355438935,0,-0.318980691,0
googlecloudplatform/spring-cloud-gcp,fix: noSuchMethodError in BigQuerySampleApplicationIntegrationTests #3140,https://github.com/GoogleCloudPlatform/spring-cloud-gcp/pull/3146,downgrade in own dependencyManagement,,,3,2024-08-22T17:19:40Z,20.18777778,,,-0.391710025,0,0.034882052,1
hiero-ledger/hiero-mirror-node,Fix NoSuchMethodError during hcs-perf-subscribe-test ,https://github.com/hiero-ledger/hiero-mirror-node/pull/1252,use BOM to align all versions,,,5,2020-11-10T15:05:03Z,15.90166667,,,-0.244045199,0,,3
hiero-ledger/hiero-mirror-node,Fix NoSuchMethodError parsing HCS transactions,https://github.com/hiero-ledger/hiero-mirror-node/pull/460,replace parent dependency with the required transitive dependency,https://github.com/hiero-ledger/hiero-mirror-node/issues/459,2019-12-20T20:47:27Z,1,2019-12-20T21:26:29Z,0.570833333,0.650555556,,-0.378059195,69,,0
hortonworks/streamline,PR on top of STREAMLINE-489 and satish registry api changes PR,https://github.com/hortonworks/streamline/pull/308,add the dependency explicitly as a direct dependency,,,3,2016-11-02T06:46:12Z,6.786666667,,,-0.586184909,60,-0.292018074,3
hortonworks/streamline,STREAMLINE-521 Fix version conflict for Jersey in Storm runtime,https://github.com/hortonworks/streamline/pull/338,exclude the transitive dependencies,,,2,2016-11-24T04:42:26Z,24.15805556,,,-0.512524564,0,-0.358793164,2
janusgraph/janusgraph,Fix snakeyaml NoSuchMethodError in remote console,https://github.com/JanusGraph/janusgraph/pull/3764,downgrade the dependency version,https://github.com/JanusGraph/janusgraph/issues/3763,2023-05-04T04:26:01Z,3,2023-05-12T02:21:03Z,68.15166667,189.9172222,,-0.299010573,6,-0.189423438,2
jenkinsci/github-checks-plugin,Add support for GitSCM sources,https://github.com/jenkinsci/github-checks-plugin/pull/26,add the dependency explicitly as a direct dependency,,,28,2020-08-20T05:08:58Z,134.8075,,,0.218211861,1049,5.567632059,27
jenkinsci/opentelemetry-plugin,Use the Jenkins okhttp-api plugin as a dependency to pull OKHTTP preventing version conflicts,https://github.com/jenkinsci/opentelemetry-plugin/pull/293,"add a new direct dependency that brings in the correct version of the conflicting dependency, exclude the transitive dependencies",,,0,2022-01-06T21:51:03Z,0.366111111,,,-0.295376547,0,-0.350923469,0
langchain4j/langchain4j,re #1506 Enabling Maven (version) enforcer plugin in `LangChain4j :: Integration :: OpenAI` module.,https://github.com/langchain4j/langchain4j/pull/1508,"add the dependency explicitly as a direct dependency, exclude the transitive dependency, use dependencyConvergence from Maven Enforcer Plugin",,,3,2024-08-26T14:57:59Z,818.7766667,,,1.283504124,0,-0.280358525,3
langchain4j/langchain4j,re #1506 Enable Maven enforcer plugin and fix dependency conflict introduced by `okhttp` dependency in 19 modules.,https://github.com/langchain4j/langchain4j/pull/1645,"add the dependency explicitly as a direct dependency, exclude the transitive dependency, use dependencyConvergence from Maven Enforcer Plugin",,,10,2024-08-27T15:44:07Z,1.184166667,,,-0.451415777,0,0.101576316,10
linagora/james-project,"Revert ""JAMES-2855 Upgrade junit 5 dependencies""",https://github.com/linagora/james-project/pull/2612,downgrade the parent dependency,,,9,2019-08-23T04:22:13Z,43.7025,,,-0.138338706,0,-0.145237038,9
lucko/bungeeguard,Support new BungeeCord API,https://github.com/lucko/BungeeGuard/pull/75,upgrade the dependency version,,,1,2022-06-08T21:01:29Z,13.56388889,,,-0.360410915,3,-0.9701425,1
matsim-org/matsim-libs,Contrib dependency management,https://github.com/matsim-org/matsim-libs/pull/1291,"add the dependency explicitly as a direct dependency, exclude the transitive dependency, include in parent depedencyManagement, use dependencyConvergence from Maven Enforcer Plugin",,,27,2021-01-15T09:52:37Z,739.2597222,,,1.673891697,0,9.479071243,27
nosqlbench/nosqlbench,"Multiple enhancements and minor fixes for NB Pulsar, NB Kafka (S4K), and NB S4J adapters",https://github.com/nosqlbench/nosqlbench/pull/1271,downgrade the parent dependency,,,3,2023-05-17T15:27:20Z,14.39333333,,,-0.376038451,751,0.459864417,3
nosqlbench/nosqlbench,"Revert ""[Snyk] Upgrade org.apache.pulsar:pulsar-client from 2.10.4 to 2.11.1""",https://github.com/nosqlbench/nosqlbench/pull/1284,downgrade the parent dependency,,,1,2023-05-25T13:59:21Z,136.7047222,,,0.404371441,0,-0.042949432,1
nosqlbench/nosqlbench,Update NBS4J version to 4.0.1 ,https://github.com/nosqlbench/nosqlbench/pull/1353,upgrade the dependency version,,,11,2023-06-26T18:51:05Z,63.96805556,,,-0.059726094,533,2.471119814,11
nosqlbench/nosqlbench,Update and align dependencies,https://github.com/nosqlbench/nosqlbench/pull/2082,align all dependencies to the same version,,,6,2024-11-18T18:58:10Z,87.91833333,,,0.093089059,0,1.214085191,6
openapitools/openapi-generator,[CLI] Fix help command,https://github.com/OpenAPITools/openapi-generator/pull/1279,upgrade the parent dependency,https://github.com/OpenAPITools/openapi-generator/issues/1278,2018-10-19T19:43:12Z,2,2018-10-20T07:06:56Z,3.231111111,11.39555556,,-0.263489024,3,,2
openapitools/openapi-generator,[Java][RESTEasy] Fix version incompatibility,https://github.com/OpenAPITools/openapi-generator/pull/594,upgrade in own dependencyManagement,,,3,2018-07-19T02:50:59Z,7.688611111,,,-0.258608918,0,,3
openapitools/openapi-generator,[online] Fix for version conflicts with springfox/boot,https://github.com/OpenAPITools/openapi-generator/pull/7102,upgrade the parent dependency,,,2,2020-08-01T10:35:56Z,8.418888889,,,-0.257809404,20,,1
open-feature/java-sdk,fix(deps): Spot bug scope change,https://github.com/open-feature/java-sdk/pull/173,set dependency scope to provided,,,1,2022-11-04T00:18:38Z,1.314722222,,,-0.096199775,0,-0.342027772,1
openidentityplatform/openam,FIX cargo-maven3-plugin uberwar: java.lang.NoSuchMethodError: void org.codehaus.plexus.util.xml.Xpp3Dom.<init>,https://github.com/OpenIdentityPlatform/OpenAM/pull/633,add the dependency explicitly as a direct dependency,,,0,2023-08-30T12:52:26Z,3.188888889,,,-0.152278743,0,-0.219527021,0
