repository,pr_title,pr_url
googlecloudplatform/cloud-build-samples,fix(deps): update spring boot to v3.0.5,https://github.com/GoogleCloudPlatform/cloud-build-samples/pull/203
googlecloudplatform/cloud-build-samples,Update spring boot to v2.6.6,https://github.com/GoogleCloudPlatform/cloud-build-samples/pull/81
tencent/spring-cloud-tencent,fix not load application.yml bug & fix guava version conflict bug,https://github.com/Tencent/spring-cloud-tencent/pull/289
tencent/spring-cloud-tencent,fix not load application.yml bug & fix guava version conflict bug,https://github.com/Tencent/spring-cloud-tencent/pull/287
tencent/spring-cloud-tencent,fix not load application.yml bug & fix guava version conflict bug,https://github.com/Tencent/spring-cloud-tencent/pull/286
tencent/spring-cloud-tencent,fix not load application.yml bug & fix guava version conflict bug,https://github.com/Tencent/spring-cloud-tencent/pull/284
tencent/spring-cloud-tencent,fix guava version conflict bug & fix router strong dependency on Load…,https://github.com/Tencent/spring-cloud-tencent/pull/236
expediagroup/circus-train,"Guava version conflicts, managed dependencies for Google Cloud",https://github.com/ExpediaGroup/circus-train/pull/39
slackhq/kaldb,Bump Armeria version,https://github.com/slackhq/astra/pull/333
slackhq/kaldb,Bump error prone version,https://github.com/slackhq/astra/pull/228
openshift/jenkins-plugin,workaround okhttp3 version conflicts between plugins,https://github.com/openshift/jenkins-plugin/pull/148
confluentinc/examples,DEVX-2580: Bump Avro version from 1.9.1 to 1.10.1; extend timeout to …,https://github.com/confluentinc/examples/pull/999
eclipse/windowbuilder,Use Require-Bundle header for Draw2D/GEF to specifiy lower bounds,https://github.com/eclipse-windowbuilder/windowbuilder/pull/762
openmessaging/benchmark,Issue 391: Update Pravega library versions and deployment script,https://github.com/openmessaging/benchmark/pull/392
openmessaging/benchmark,[ISSUE #265]Fix com/fasterxml/jackson/annotation/JsonKey: NoClassDefoundError,https://github.com/openmessaging/benchmark/pull/266
apache/incubator-linkis,Dispose of sqoop engine startup failure due to dependency library conflict,https://github.com/apache/linkis/pull/2356
apache/incubator-linkis,use spring-boot-starter-jetty,https://github.com/apache/linkis/pull/1660
interestinglab/earth-fleet,[hotfix][flink-1.13] fix flink example NPE & NoSuchMethodError,https://github.com/apache/seatunnel/pull/2589
interestinglab/earth-fleet,Feature: add spark sink hbase plugin,https://github.com/apache/seatunnel/pull/592
interestinglab/seatunnel,[hotfix][flink-1.13] fix flink example NPE & NoSuchMethodError,https://github.com/apache/seatunnel/pull/2589
interestinglab/seatunnel,Feature: add spark sink hbase plugin,https://github.com/apache/seatunnel/pull/592
mytourbook/mytourbook,20.8 Misc changes,https://github.com/mytourbook/mytourbook/pull/208
googlecloudplatform/appengine-java-standard,Update all non-major dependencies,https://github.com/GoogleCloudPlatform/appengine-java-standard/pull/349
googlecloudplatform/appengine-java-standard,Update spring boot to v2.7.18,https://github.com/GoogleCloudPlatform/appengine-java-standard/pull/147
potatocraft-studio/quickshop-reremake,Merge back to master,https://github.com/PotatoCraft-Studio/QuickShop-Reremake/pull/136
apache/hop,included stax2 in lib/core to fix NoSuchMethodError in StAX transform…,https://github.com/apache/hop/pull/4606
vaadin/hilla,chore: upgrade flow to fix atmosphere runtime convergence,https://github.com/vaadin/hilla/pull/2640
apache/incubator-seatunnel,[hotfix][flink-1.13] fix flink example NPE & NoSuchMethodError,https://github.com/apache/seatunnel/pull/2589
apache/incubator-seatunnel,Feature: add spark sink hbase plugin,https://github.com/apache/seatunnel/pull/592
dtstack/chunjun,add oceanbasecdc connector,https://github.com/DTStack/chunjun/pull/1167
googlecloudplatform/pgadapter,deps: update dependency org.springframework.boot:spring-boot-starter-parent to v3.2.5,https://github.com/GoogleCloudPlatform/pgadapter/pull/1841
googlecloudplatform/pgadapter,deps: update dependency org.postgresql:postgresql to v42.7.3,https://github.com/GoogleCloudPlatform/pgadapter/pull/1839
googlecloudplatform/pgadapter,deps: update spring-boot.version to v3 (major),https://github.com/GoogleCloudPlatform/pgadapter/pull/1711
googlecloudplatform/pgadapter,deps: update spring-boot.version to v2.7.18,https://github.com/GoogleCloudPlatform/pgadapter/pull/1654
googlecloudplatform/pgadapter,deps: update dependency org.postgresql:postgresql to v42.7.3,https://github.com/GoogleCloudPlatform/pgadapter/pull/1648
googlecloudplatform/pgadapter,deps: update spring-boot.version to v2.7.16,https://github.com/GoogleCloudPlatform/pgadapter/pull/1098
apache/rocketmq-mqtt,Delete logback1.2.3 version conflict,https://github.com/apache/rocketmq-mqtt/pull/227
apache/incubator-hugegraph,fix(pd): log4j version conflict & follower NPE,https://github.com/apache/incubator-hugegraph/pull/2339
starrocks/starrocks-connector-for-apache-flink,Fix shade jackson,https://github.com/StarRocks/starrocks-connector-for-apache-flink/pull/163
objectionary/eo,fix(#2668): fix test with child parameters,https://github.com/objectionary/eo/pull/2677
apache/incubator-uniffle,[#1567] fix(spark): Let Spark use its own NettyUtils,https://github.com/apache/uniffle/pull/1565
paladincloud/ce,chore:Upgraded aws-java-sdk version in commons,https://github.com/PaladinCloud/CE/pull/341
arextest/arex-agent-java,fix: range version conflict,https://github.com/arextest/arex-agent-java/pull/442
netease/arctic,[AMORO-2560]Filformat ORC support roll new file for mixed_format,https://github.com/apache/amoro/pull/2561
netease/arctic,"[optimizer]For flinkcontainer optimizer, When making a connection via ams in high availability mode, NoSuchMethodError is encountered",https://github.com/apache/amoro/pull/1612
apache/inlong,[INLONG-10318][Agent] Add PostgreSQL data source for Agent,https://github.com/apache/inlong/pull/10320
